problem,n,m,success,objective,infeasibility,evaluations,time,exit_code,message
BT1,2,1,True,-1.000001049912271,1.0551882034794134e-08,75,0.000985860824584961,4,Parameter tolerance reached
BT10,2,2,False,-110.52381423047163,1337889.6326237605,523,0.013495683670043945,3,Infeasible solution
BT11,5,3,False,0.578559721746557,1.1089646131878228,129,0.0075075626373291016,3,Infeasible solution
BT12,5,3,False,0.04000005238347682,249.55901314040727,117,0.007615804672241211,4,Infeasible solution
BT13,5,1,True,0.0,6.40481194126158e-07,204,0.008356332778930664,3,Function tolerance reached
BT2,3,1,True,0.03256819798071951,2.2491051065998136e-07,150,0.0033164024353027344,3,Function tolerance reached
BT3,5,3,False,1.4102229195859614e-22,3.999999999962996,25,0.0017271041870117188,4,Infeasible solution
BT4,3,2,False,nan,nan,nan,nan,,Optimization error: 
BT5,3,2,False,976.0,13.152946437965905,1001,0.03251481056213379,5,Infeasible solution
BT6,5,2,False,0.25705274720297144,1.0703984011768317,139,0.005807638168334961,3,Infeasible solution
BT7,5,3,False,0.24999976480607078,1.9253649736844225,89,0.005017995834350586,3,Infeasible solution
BT8,5,2,False,1.0000000000060532,0.2071067811924091,39,0.001911163330078125,3,Infeasible solution
BT9,4,2,False,nan,nan,nan,nan,,Optimization error: 
BURKEHAN,1,1,False,nan,nan,nan,nan,,Optimization error: 
BYRDSPHR,3,2,False,-6.19615221692294,4.464092421697704,53,0.0020008087158203125,3,Infeasible solution
C-RELOAD,342,284,False,-1.41,131.12471271196807,32,9.54283881187439,3,Infeasible solution
CAMEL6,2,0,True,-1.0316279351221294,0.0,24,0.0002586841583251953,3,Function tolerance reached
CANTILVR,5,1,True,1.3400325129041302,0.0,123,0.007341623306274414,3,Function tolerance reached
CB2,3,3,False,1.5264072038454674e-05,307.03624564684657,45,0.0035123825073242188,4,Infeasible solution
CB3,3,3,False,1.5264072038454674e-05,3951.1665644630216,45,0.004436016082763672,4,Infeasible solution
CERI651A,7,61,False,0.0,106.00958989432908,11,0.00829458236694336,3,Infeasible solution
CERI651ALS,7,0,True,10321.776368394598,0.0,23,0.0034372806549072266,4,Parameter tolerance reached
CERI651B,7,66,False,0.0,21.189112962774495,11,0.00946354866027832,3,Infeasible solution
CERI651BLS,7,0,True,151.0004637966069,0.0,23,0.0017094612121582031,4,Parameter tolerance reached
CERI651C,7,56,False,0.0,10.917559763108185,11,0.0075910091400146484,3,Infeasible solution
CERI651CLS,7,0,True,119.88492352984673,0.0,23,0.0011401176452636719,4,Parameter tolerance reached
CERI651D,7,67,False,0.0,5.543267634181593,10,0.009082794189453125,3,Infeasible solution
CERI651DLS,7,0,True,14.042895881556422,0.0,37,0.0035676956176757812,3,Function tolerance reached
CERI651E,7,64,False,0.0,6.093789070080613,10,0.008622884750366211,3,Infeasible solution
CERI651ELS,7,0,True,37.13426523063394,0.0,24,0.0009570121765136719,4,Parameter tolerance reached
CHACONN1,3,3,False,-9.847060254870866e-12,500705.0015396647,108,0.005726814270019531,4,Infeasible solution
CHACONN2,3,3,False,-1.5878339290099908e-10,88274.88716750227,91,0.005827665328979492,4,Infeasible solution
CHANDHEQ,100,100,False,0.0,2.627186322671621,43,1.7700822353363037,3,Infeasible solution
CHANDHEU,500,500,False,0.0,5.890284909739692,15,30.530165910720825,6,Infeasible solution
CHEBYQAD,100,0,True,0.011638425955458782,0.0,18,0.511383056640625,3,Function tolerance reached
CHEBYQADNE,100,100,False,0.0,0.13034514579872825,33,2.9152109622955322,3,Infeasible solution
CHNROSNB,50,0,True,0.0028194677975981646,0.0,408,0.10744333267211914,3,Function tolerance reached
CHNRSBNE,50,98,False,0.0,87.36040292947371,70,0.8870687484741211,3,Infeasible solution
CHNRSNBM,50,0,True,0.0036931077753230668,0.0,412,0.09563589096069336,3,Function tolerance reached
CHNRSNBMNE,50,98,False,0.0,92.89507160628393,70,0.8957552909851074,3,Infeasible solution
CHWIRUT1,3,214,False,0.0,54.43043807902209,43,0.06974482536315918,3,Infeasible solution
CHWIRUT1LS,3,0,True,50068.64891449799,0.0,25,0.0007779598236083984,4,Parameter tolerance reached
CHWIRUT2,3,54,False,0.0,30.278105870648496,38,0.01609182357788086,3,Infeasible solution
CHWIRUT2LS,3,0,True,14794.790154797307,0.0,24,0.0003905296325683594,4,Parameter tolerance reached
CLEUVEN7,360,946,False,nan,nan,nan,nan,,Optimization error: 
CLIFF,2,0,True,18931380.4231452,0.0,22,0.0002307891845703125,3,Function tolerance reached
CLUSTER,2,2,True,0.0,0.012625924608600642,23,0.0006978511810302734,3,Function tolerance reached
CLUSTERLS,2,0,True,3.9444161153716904e-13,0.0,22,0.0002884864807128906,3,Function tolerance reached
COATING,134,0,True,6.323225143528489,0.0,501,0.86301589012146,3,Function tolerance reached
COATINGNE,134,252,False,0.0,122.01226559592223,43,4.964293956756592,3,Infeasible solution
CONCON,15,11,False,nan,nan,nan,nan,,Optimization error: 
CONGIGMZ,3,5,False,-307092985129.3128,3.0121747629654504e+21,117,0.00814676284790039,3,Infeasible solution
COOLHANS,9,9,False,0.0,950.2265262662372,3,0.0005221366882324219,3,Infeasible solution
COOLHANSLS,9,0,True,83471.52307219923,0.0,20,0.00027251243591308594,3,Function tolerance reached
CORE1,65,59,False,nan,nan,nan,nan,,Optimization error: 
CORE2,157,134,False,nan,nan,nan,nan,,Optimization error: 
CRESC100,6,200,False,5.0228166991051395e-09,16659.55204257122,11,0.04936337471008301,3,Infeasible solution
