problem,n,m,status,obj,constraint,iter,count_cost,total_time,message
DIXCHLNG,10,5,1,1279580555.2490458,4.119937280222563e-09,17,618,0.014184236526489258,
DJTL,2,0,1,-6350.805499097186,0.0,7,109,0.004502058029174805,
DMN15102LS,66,0,1,13124.896560086334,0.0,2,472,0.9449357986450195,
DMN15103LS,99,0,1,12673.863488857796,0.0,2,703,1.5802521705627441,
DMN15332LS,66,0,1,1963.4903925533044,0.0,2,551,0.9125049114227295,
DMN15333LS,99,0,0,1874.9821775921146,0.0,1,1007,2.1845407485961914,
DMN37142LS,66,0,1,429.94190108412977,0.0,2,614,1.2015094757080078,
DMN37143LS,99,0,0,379.24535786591724,0.0,1,1016,2.129349946975708,
DNIEPER,57,24,0,18791.3949476514,4.356360958176312e-06,3,1044,0.04161953926086426,
DUAL1,85,1,0,0.053397654228703115,4.775388176905815e-09,2,1038,0.053623199462890625,
DUAL2,96,1,0,0.04206721542724312,8.563311679546382e-09,2,1075,0.06156635284423828,
DUAL3,111,1,0,0.1716575836854171,6.909329159157651e-09,2,1015,0.07794475555419922,
DUAL4,75,1,1,0.772805347195701,5.422245187569619e-10,3,1000,0.04244565963745117,
DUALC1,9,215,0,2727153.796290744,236.94786243077633,34,1000,0.8748910427093506,
DUALC2,7,229,-3,327451.72160285496,266.0108979923991,35,903,0.913783073425293,
DUALC5,8,278,1,427.3102400941877,5.842634709374295e-11,3,201,0.4655754566192627,
DUALC8,8,503,0,2174012.1468976997,137.21795429481776,36,1000,4.2355053424835205,
ECKERLE4,3,35,0,0.0,0.7324717452918091,119,1000,0.13239574432373047,
ECKERLE4LS,3,0,1,0.699696093314702,0.0,2,19,0.004548549652099609,
EG1,3,0,1,-1.4292968481766388,0.0,3,54,0.00412440299987793,
EGGCRATE,2,0,1,9.488197340499392,0.0,2,33,0.003889799118041992,
EGGCRATEB,2,0,1,9.488198142830933,0.0,2,31,0.004513740539550781,
EGGCRATENE,2,4,0,0.0,3.0833097529992353,82,1000,0.018821239471435547,
EIGMAXA,101,101,0,-0.6781168372716572,0.9999999998665383,6,1020,0.10879111289978027,
EIGMAXB,101,101,0,-0.2624807029405814,0.9946808592941966,6,1027,0.11138010025024414,
EIGMAXC,202,202,0,-0.0014593760050779399,0.9999999996243502,3,1015,0.21472549438476562,
EIGMINA,101,101,0,-0.0030434891239841063,0.9999999998721206,6,1020,0.09730935096740723,
EIGMINB,101,101,0,-0.2625864042999308,0.9916129610103512,6,1027,0.10919046401977539,
EIGMINC,202,202,0,-0.001459376011335441,0.9999999996242578,3,1015,0.2858409881591797,
ELATTAR,7,102,-3,nan,0.0,31,759,0.085845947265625,
ELATVIDU,2,0,1,16002.0,0.0,6,85,0.005326509475708008,
ELATVIDUB,2,0,1,1.7127803594427329,0.0,3,52,0.005922794342041016,
ELATVIDUNE,2,3,0,0.0,1.383716212550475,103,1000,0.03095245361328125,
ENGVAL2,3,0,1,4.084692437479579e-05,0.0,4,146,0.0049707889556884766,
ENGVAL2NE,3,5,0,0.0,3.357581008527975e-06,80,1000,0.021762371063232422,
ENSO,9,168,0,0.0,28.45017245356158,46,1005,0.657001256942749,
ENSOLS,9,0,1,788.5404934566039,0.0,4,267,0.012423038482666016,
EQC,7,3,0,-827.1588906434467,0.3144566747854757,39,1004,0.016292333602905273,
ERRINBAR,18,9,-3,1.4752098760000002e+21,2.9315098508093876e+39,6,281,0.030533790588378906,
ERRINROS,50,0,1,110178.4322795243,0.0,6,373,0.007596254348754883,
ERRINROSNE,50,98,0,0.0,6.940386117458863,10,1033,0.054383039474487305,
ERRINRSM,50,0,1,152871.45121853577,0.0,6,373,0.006915569305419922,
ERRINRSMNE,50,98,0,0.0,6.86116340592822,10,1040,0.061712026596069336,
EXP2,2,0,1,3.236440304904765e-07,0.0,2,31,0.004774808883666992,
EXP2B,2,0,1,2.1923187204805653e-06,0.0,2,27,0.0043256282806396484,
EXP2NE,2,10,0,0.0,4.212125361831178e-06,88,1000,0.03708696365356445,
EXPFIT,2,0,1,0.24051059829612,0.0,2,45,0.005302906036376953,
EXPFITA,5,22,1,29.985977435784125,0.0,46,1002,0.031190156936645508,
EXPFITB,5,102,1,149.90448520263868,0.0,46,1002,0.09769701957702637,
EXPFITC,5,502,1,749.5197967446427,0.0,46,1002,4.567847013473511,
